cohort	path	nominal_bytes	file_type	continuation_pre_flags	continuation_pre_allocated_512b_blocks	post_flags	post_allocated_512b_blocks	content_sha256
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_wf055.ply	1140569	regular	compressed,dataless	0	-	2232	0de9a57e9ab262e29020a46b34b6282108540c9e47e7390cf6f9599ae248d320
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_wf070.ply	1079159	regular	compressed,dataless	0	-	2112	101e12bb05016d52051ed30a81e6670765346d0a5b1a8a3da7c6d760186ed7e3
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_wide_off.ply	2096025	regular	compressed,dataless	0	-	4096	1282b4b07ccf83275f7033d686008c4afdf9843cc23f909a4cd3fd55ffed13b8
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_wide_on.ply	999629	regular	compressed,dataless	0	-	1960	be60b449ec0f0b5759ae8e4c94ee4d4d8fa800633a0da380299dddf9a5169b6b
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/mvs_res15blend.ply	600179	regular	compressed,dataless	0	-	1176	4b4cca0bea2a6c0a76dc08870b763345d83e1adcde7e76a79a10e13de1859850
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/mvs_res2blend.ply	289529	regular	compressed,dataless	0	-	568	f61b33454330a3f7e81a6da820bb67d6325ba162db239166037907848f3aa275
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/sigma_10.ply	253469	regular	compressed,dataless	0	-	496	87ec4657944dfe3722b4a6779a9f0b3599793744696f8323ebd46c286aef14b4
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/sigma_15.ply	367004	regular	compressed,dataless	0	-	720	8327891acdb18952a784d82cdd7b15167f057e17013b93784d06f7046db823df
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/sigma_20.ply	446249	regular	compressed,dataless	0	-	872	39614ddf59666b36f212a45de56adaadb6770475518a5565e07db01a586f8903
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/sigma_device.ply	940610	regular	compressed,dataless	0	-	1840	658a566e0e38093366b1d20650b3c95cc632c327e54ce4d8d84c41075f99b7ce
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/sigma_none.ply	720269	regular	compressed,dataless	0	-	1408	db83f84c935a5dae93da43508ae32a70f5b18fb74df030ebb91d945f062580a8
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/consistency/raw_vs_filtered_slab.png	117925	regular	compressed,dataless	0	-	232	18f1a2b18d0c0fca0c8d948fccc3c03b7fefe022b24a7891db50e6db3412311b
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/metric_vs_window_slab.png	183858	regular	compressed,dataless	0	-	360	34de3c06db5063ab1ba57cc480ea2304cd3b7c3cb1bcad77e1dd7d5dea5b2c4d
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/poisson/mesh_fusecut_aligned_web.ply	1299252	regular	compressed,dataless	0	-	2544	1a267a90efe46ebf591187ea5c0efe746eb4eb2082e36a53332b5c18a00602f6
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/poisson/render_new12_a0.png	491490	regular	compressed,dataless	0	-	960	361a9336cfa9062d337050dab11a19227fa454965b45dc96863e722bbd610b2b
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/poisson/render_new12_a1.png	6486	regular	compressed,dataless	0	-	16	437ab3884dec29e91d8de01959ac8f3e4ac5303822b28b340cef8a6c32b44ed4
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/poisson/render_new12_a2.png	6486	regular	compressed,dataless	0	-	16	437ab3884dec29e91d8de01959ac8f3e4ac5303822b28b340cef8a6c32b44ed4
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/poisson/render_old11_a0.png	518115	regular	compressed,dataless	0	-	1016	33cf509fc915c590c7f73174764db7b172986aed7a198e07ce24a28195ca043a
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/poisson/render_old11_a1.png	6486	regular	compressed,dataless	0	-	16	437ab3884dec29e91d8de01959ac8f3e4ac5303822b28b340cef8a6c32b44ed4
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/poisson/render_old11_a2.png	6486	regular	compressed,dataless	0	-	16	437ab3884dec29e91d8de01959ac8f3e4ac5303822b28b340cef8a6c32b44ed4
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/poisson/render_union_a0.png	585959	regular	compressed,dataless	0	-	1152	5f1af7b5ac02c5f7370f4c0bf4ff65b272a068625d92db1fef5962a1c98b0dfb
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/poisson/render_union_a1.png	6486	regular	compressed,dataless	0	-	16	437ab3884dec29e91d8de01959ac8f3e4ac5303822b28b340cef8a6c32b44ed4
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/poisson/render_union_a2.png	6486	regular	compressed,dataless	0	-	16	437ab3884dec29e91d8de01959ac8f3e4ac5303822b28b340cef8a6c32b44ed4
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/poisson/sfm_colmap.ply	3627630	regular	compressed,dataless	0	-	7088	e762b1eb66a5701aaa6e8e686dbfaee3bda905f21c79d63d8c99dc6639dc0e8c
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/poisson/sfm_colmap_ba.ply	3627630	regular	compressed,dataless	0	-	7088	9fc4eecdfa8ce3ecc7a6983e58c5821a3cac2129ca59d56e8e6ea4fea8a3d8cf
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/poisson/sfm_glomap_v8.ply	2389654	regular	compressed,dataless	0	-	4672	b5909b6a1ddb98cbf9893aead6e15e561e2f2ac564d5ee1c3a59536fcd0d629b
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/poisson/sfm_v8_clip.ply	2328661	regular	compressed,dataless	0	-	4552	2c0b330119eb69789da5a5a2b4443382a4425c7264d78f6202b345391272cea7
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/poisson/sfm_v8full_clip.ply	2328661	regular	compressed,dataless	0	-	4552	2c0b330119eb69789da5a5a2b4443382a4425c7264d78f6202b345391272cea7
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/poisson/sfm_v8opt_clip.ply	2328661	regular	compressed,dataless	0	-	4552	2c0b330119eb69789da5a5a2b4443382a4425c7264d78f6202b345391272cea7
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/LICENSE	1571	regular	compressed,dataless	0	-	8	e90db66e74cd5888d5bd8e254929f74835997f336d25372fcb824a7be53baf20
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/lazylibs/geopackage/LICENSE	1107	regular	compressed,dataless	0	-	8	516dbe0f3b43d3e1fb37877aac1942e60a3a0ae0ad52b73b689f409647cda98d
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/lazylibs/sql.js/AUTHORS	111	regular	compressed,dataless	0	-	8	120d2079d323daafadbd78f1f994583a8fe57efa1d9d7d910eb5a17b46763124
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/lazylibs/sql.js/LICENSE	2199	regular	compressed,dataless	0	-	8	60a3f6e4d7b29b4321359e683b36cf198d24f58e24582070f56e6fa89d5ee2be
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/lazylibs/sql.js/sql-wasm.wasm	1450157	regular	compressed,dataless	0	-	2840	cfda8a42f05eca2c5c8570521dec6a505b095c7622b6d3e32faea1b1b7adca23
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/potree.css	12753	regular	compressed,dataless	0	-	32	f57f56492ad55f55e6e7fa4e1481dd2eceb3a4fce3c53c1773e5784a11686a98
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/LICENSE	523	regular	compressed,dataless	0	-	8	b0ac74fbdbae692ed9c5532984ef9961c4a35fbc771030a47728ed13a9051889
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/add.svg	2667	regular	compressed,dataless	0	-	8	92ee373b0d690bd3b2e27111186b516f40acd9afaa0488aa8c9e1b1c49157e8f
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/angle.png	602	regular	compressed,dataless	0	-	8	7c1d001a226a9d7f3ed1c3a2b4d34ff526dc1e1499a7956778735c218191febd
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/annotation.svg	4818	regular	compressed,dataless	0	-	16	3e665a1b9c04262e9da1fc2e9cdfac8406213875f9571d57d7cdd21ff493f3dd
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/area.svg	3315	regular	compressed,dataless	0	-	8	ff6a8a27632be19b846b7566d0cb388dc59b803e226ddf6ea62a52326a90027a
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/area_backup.svg	4329	regular	compressed,dataless	0	-	16	cbae3f0308b23ef48bd87b3a251c9b191b8af45c375cb524ffbbf65db75b8c80
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/arrow_ccw.svg	4838	regular	compressed,dataless	0	-	16	90b41066baab08c116516b44bc26f0b0654074d5191673692538aef0b76b6ea9
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/arrow_cw.svg	4838	regular	compressed,dataless	0	-	16	bd8d4c95338a3c70d951559479fcabbae2429bfb8c2356d75346b66e20adab05
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/arrow_down.svg	4594	regular	compressed,dataless	0	-	16	fdfb755c9f04108050d868bf67ddff128bd68e2eeac1f9e4fc978e66ea84843d
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/arrow_left.svg	4587	regular	compressed,dataless	0	-	16	7db4efdc20d38ebdfebf9cd8378858c42c6e5fa4c320fb32a6bb53d512957df8
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/arrow_right.svg	4592	regular	compressed,dataless	0	-	16	f3f997705b2e79ae2b0f25220b62eaf7c6b6ca9f00731af25f6e9bf7bd4c1310
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/arrow_up.svg	4559	regular	compressed,dataless	0	-	16	85cf972c7f21ef6059582607b3fafb3f9a576d6dba914f958a249a885cb82a37
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/assign.svg	2671	regular	compressed,dataless	0	-	8	c4f219a9de3b695391ab5247a465e9b65d8f64471b216bdf32c2caa2917e057f
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/azimuth.svg	3500	regular	compressed,dataless	0	-	8	9c49821773c3ef4247bc5d4916e8f39d9f1afaebc18401138caeeed6dfde7029
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/back.svg	4029	regular	compressed,dataless	0	-	8	7b9b937a629c5c399c0c24c6ea02cdcc57affbc1b37a1c9c9d3e42b912fe9df5
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/bottom.svg	4643	regular	compressed,dataless	0	-	16	06133a4827f22ed7f0d97f462c7deae44de6a1fcca649dfeb1bf3ec51964ec71
ORIGINAL_294	/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/camera_animation.svg	9144	regular	compressed,dataless	0	-	24	b23601c97d4705fef7d50cf7c985bbb6ddd44f3c299bf823e9bd8ce89c74d792
